,Gene Symbol,Interactor Symbol,Entrez ID,Evidence,Interactor Name,Uniport ID,Reference,Species,Interaction Type,edge,loci,loci-Gene-Symbol,loci-Interactor-Symbol
21391,FMR1,POLR3A,11128,PAR-CLIP;      RNA immunoprecipitation (RIP),"polymerase (RNA) III (DNA directed) polypeptide A, 155kDa",O14802,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3A",,Xq27.3,10q22.3
21392,FMR1,POLR3B,55703,PAR-CLIP;      RNA immunoprecipitation (RIP),polymerase (RNA) III (DNA directed) polypeptide B,Q7Z3R8,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3B",,Xq27.3,0
21393,FMR1,POLR3C,10623,PAR-CLIP,polymerase (RNA) III (DNA directed) polypeptide C (62kD),Q9BUI4,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3C",,Xq27.3,0
21394,FMR1,POLR3D,661,PAR-CLIP;      RNA immunoprecipitation (RIP),"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa",P05423,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3D",,Xq27.3,0
21395,FMR1,POLR3E,55718,PAR-CLIP;      RNA immunoprecipitation (RIP),polymerase (RNA) III (DNA directed) polypeptide E (80kD),Q9NVU0,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3E",,Xq27.3,0
21396,FMR1,POLR3F,10621,PAR-CLIP,"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa",Q9H1D9,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3F",,Xq27.3,0
21397,FMR1,POLR3G,10622,PAR-CLIP,polymerase (RNA) III (DNA directed) polypeptide G (32kD),O15318,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3G",,Xq27.3,0
21398,FMR1,POLR3GL,84265,PAR-CLIP,polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like,Q9BT43,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3GL",,Xq27.3,0
21399,FMR1,POLR3H,171568,PAR-CLIP,polymerase (RNA) III (DNA directed) polypeptide H (22.9kD),Q9Y535,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3H",,Xq27.3,0
21400,FMR1,POLR3K,51728,PAR-CLIP,"polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa",Q9Y2Y1,23235829,Homo sapiens,RNA Binding,"FMR1,POLR3K",,Xq27.3,0
21401,FMR1,POLRMT,5442,PAR-CLIP,polymerase (RNA) mitochondrial (DNA directed),O00411,23235829,Homo sapiens,RNA Binding,"FMR1,POLRMT",,Xq27.3,0
21402,FMR1,POM121,9883,PAR-CLIP,POM121 membrane glycoprotein,Q96HA1,23235829,Homo sapiens,RNA Binding,"FMR1,POM121",,Xq27.3,0
21403,FMR1,POM121C,100101267,PAR-CLIP,POM121 membrane glycoprotein C,A8CG34,23235829,Homo sapiens,RNA Binding,"FMR1,POM121C",,Xq27.3,0
21404,FMR1,POMGNT1,55624,PAR-CLIP,"protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase",Q8WZA1,23235829,Homo sapiens,RNA Binding,"FMR1,POMGNT1",,Xq27.3,1p34.1
21405,FMR1,POMT1,10585,PAR-CLIP,protein-O-mannosyltransferase 1,Q9Y6A1,23235829,Homo sapiens,RNA Binding,"FMR1,POMT1",,Xq27.3,9q34.13
21406,FMR1,POMT2,29954,PAR-CLIP,protein-O-mannosyltransferase 2,Q9UKY4,23235829,Homo sapiens,RNA Binding,"FMR1,POMT2",,Xq27.3,0
21407,FMR1,PON2,5445,PAR-CLIP,paraoxonase 2,Q15165,23235829,Homo sapiens,RNA Binding,"FMR1,PON2",,Xq27.3,0
21408,FMR1,POP1,10940,PAR-CLIP;      RNA immunoprecipitation (RIP),"processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)",Q99575,23235829,Homo sapiens,RNA Binding,"FMR1,POP1",,Xq27.3,0
21409,FMR1,POP4,10775,PAR-CLIP,"processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)",O95707,23235829,Homo sapiens,RNA Binding,"FMR1,POP4",,Xq27.3,0
21410,FMR1,POP7,10248,PAR-CLIP,"processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)",O75817,23235829,Homo sapiens,RNA Binding,"FMR1,POP7",,Xq27.3,0
21411,FMR1,POR,5447,PAR-CLIP,P450 (cytochrome) oxidoreductase,P16435,23235829,Homo sapiens,RNA Binding,"FMR1,POR",,Xq27.3,0
21412,FMR1,POT1,25913,PAR-CLIP,protection of telomeres 1 homolog (S. pombe),Q9NUX5,23235829,Homo sapiens,RNA Binding,"FMR1,POT1",,Xq27.3,7q31.33
21413,FMR1,POU2F1,5451,PAR-CLIP;      RNA immunoprecipitation (RIP),POU class 2 homeobox 1,P14859,23235829,Homo sapiens,RNA Binding,"FMR1,POU2F1",,Xq27.3,0
21414,FMR1,POU3F1,5453,PAR-CLIP,POU class 3 homeobox 1,Q03052,23235829,Homo sapiens,RNA Binding,"FMR1,POU3F1",,Xq27.3,0
21415,FMR1,POU3F2,5454,PAR-CLIP,POU class 3 homeobox 2,P20265,23235829,Homo sapiens,RNA Binding,"FMR1,POU3F2",,Xq27.3,0
21416,FMR1,POU3F3,5455,PAR-CLIP,POU class 3 homeobox 3,P20264,23235829,Homo sapiens,RNA Binding,"FMR1,POU3F3",,Xq27.3,0
21417,FMR1,POU4F1,5457,PAR-CLIP,POU class 4 homeobox 1,Q01851,23235829,Homo sapiens,RNA Binding,"FMR1,POU4F1",,Xq27.3,0
21418,FMR1,POU6F2,11281,PAR-CLIP,POU class 6 homeobox 2,P78424,23235829,Homo sapiens,RNA Binding,"FMR1,POU6F2",,Xq27.3,0
21419,FMR1,PPA1,5464,PAR-CLIP,pyrophosphatase (inorganic) 1,Q15181,23235829,Homo sapiens,RNA Binding,"FMR1,PPA1",,Xq27.3,0
21420,FMR1,PPA2,27068,PAR-CLIP,pyrophosphatase (inorganic) 2,Q9H2U2,23235829,Homo sapiens,RNA Binding,"FMR1,PPA2",,Xq27.3,0
21421,FMR1,PPAN,56342,PAR-CLIP,peter pan homolog (Drosophila),Q9NQ55,23235829,Homo sapiens,RNA Binding,"FMR1,PPAN",,Xq27.3,0
21422,FMR1,PPAN-P2RY11,692312,PAR-CLIP,PPAN-P2RY11 readthrough,Q9NQ55,23235829,Homo sapiens,RNA Binding,"FMR1,PPAN-P2RY11",,Xq27.3,0
21423,FMR1,PPAP2B,8613,PAR-CLIP,phosphatidic acid phosphatase type 2B,O14495,23235829,Homo sapiens,RNA Binding,"FMR1,PPAP2B",,Xq27.3,0
21424,FMR1,PPAPDC2,403313,PAR-CLIP,phosphatidic acid phosphatase type 2 domain containing 2,Q8IY26,23235829,Homo sapiens,RNA Binding,"FMR1,PPAPDC2",,Xq27.3,0
21425,FMR1,PPARA,5465,PAR-CLIP,peroxisome proliferator-activated receptor alpha,F1D8S4,23235829,Homo sapiens,RNA Binding,"FMR1,PPARA",,Xq27.3,0
21426,FMR1,PPARD,5467,PAR-CLIP,peroxisome proliferator-activated receptor delta,Q03181,23235829,Homo sapiens,RNA Binding,"FMR1,PPARD",,Xq27.3,0
21427,FMR1,PPARG,5468,PAR-CLIP;      RNA immunoprecipitation (RIP),peroxisome proliferator-activated receptor gamma,P37231,23235829,Homo sapiens,RNA Binding,"FMR1,PPARG",,Xq27.3,0
21428,FMR1,PPARGC1B,133522,PAR-CLIP,"peroxisome proliferator-activated receptor gamma, coactivator 1 beta",B7ZM40,23235829,Homo sapiens,RNA Binding,"FMR1,PPARGC1B",,Xq27.3,0
21429,FMR1,PPAT,5471,PAR-CLIP,phosphoribosyl pyrophosphate amidotransferase,A8K4H7,23235829,Homo sapiens,RNA Binding,"FMR1,PPAT",,Xq27.3,0
21430,FMR1,PPCS,79717,PAR-CLIP,phosphopantothenoylcysteine synthetase,Q9HAB8,23235829,Homo sapiens,RNA Binding,"FMR1,PPCS",,Xq27.3,0
21431,FMR1,PPDPF,79144,PAR-CLIP,pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish),Q9H3Y8,23235829,Homo sapiens,RNA Binding,"FMR1,PPDPF",,Xq27.3,0
21432,FMR1,PPFIA1,8500,PAR-CLIP,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1",B3KVS8,23235829,Homo sapiens,RNA Binding,"FMR1,PPFIA1",,Xq27.3,11q13.3
21433,FMR1,PPFIA2,8499,PAR-CLIP,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2",O75334,23235829,Homo sapiens,RNA Binding,"FMR1,PPFIA2",,Xq27.3,0
21434,FMR1,PPFIBP1,8496,PAR-CLIP,"PTPRF interacting protein, binding protein 1 (liprin beta 1)",Q86W92,23235829,Homo sapiens,RNA Binding,"FMR1,PPFIBP1",,Xq27.3,0
21435,FMR1,PPFIBP2,8495,PAR-CLIP,"PTPRF interacting protein, binding protein 2 (liprin beta 2)",B7Z433,23235829,Homo sapiens,RNA Binding,"FMR1,PPFIBP2",,Xq27.3,0
21436,FMR1,PPHLN1,51535,PAR-CLIP,periphilin 1,Q8NEY8,23235829,Homo sapiens,RNA Binding,"FMR1,PPHLN1",,Xq27.3,0
21437,FMR1,PPIA,5478,PAR-CLIP,peptidylprolyl isomerase A (cyclophilin A),P62937,23235829,Homo sapiens,RNA Binding,"FMR1,PPIA",,Xq27.3,0
21438,FMR1,PPIB,5479,PAR-CLIP,peptidylprolyl isomerase B (cyclophilin B),P23284,23235829,Homo sapiens,RNA Binding,"FMR1,PPIB",,Xq27.3,0
21439,FMR1,PPID,5481,PAR-CLIP,peptidylprolyl isomerase D,E5KN55,23235829,Homo sapiens,RNA Binding,"FMR1,PPID",,Xq27.3,0
21440,FMR1,PPIE,10450,PAR-CLIP,peptidylprolyl isomerase E (cyclophilin E),Q3S611,23235829,Homo sapiens,RNA Binding,"FMR1,PPIE",,Xq27.3,0
21441,FMR1,PPIF,10105,PAR-CLIP,peptidylprolyl isomerase F,P30405,23235829,Homo sapiens,RNA Binding,"FMR1,PPIF",,Xq27.3,0
21442,FMR1,PPIG,9360,PAR-CLIP,peptidylprolyl isomerase G (cyclophilin G),Q13427,23235829,Homo sapiens,RNA Binding,"FMR1,PPIG",,Xq27.3,0
21443,FMR1,PPIH,10465,PAR-CLIP,peptidylprolyl isomerase H (cyclophilin H),O43447,23235829,Homo sapiens,RNA Binding,"FMR1,PPIH",,Xq27.3,0
21444,FMR1,PPIL1,51645,PAR-CLIP,peptidylprolyl isomerase (cyclophilin)-like 1,Q9Y3C6,23235829,Homo sapiens,RNA Binding,"FMR1,PPIL1",,Xq27.3,0
21445,FMR1,PPIL2,23759,PAR-CLIP,peptidylprolyl isomerase (cyclophilin)-like 2,Q13356,23235829,Homo sapiens,RNA Binding,"FMR1,PPIL2",,Xq27.3,0
21446,FMR1,PPIL4,85313,PAR-CLIP,peptidylprolyl isomerase (cyclophilin)-like 4,Q8WUA2,23235829,Homo sapiens,RNA Binding,"FMR1,PPIL4",,Xq27.3,0
21447,FMR1,PPIL6,285755,PAR-CLIP,peptidylprolyl isomerase (cyclophilin)-like 6,Q8IXY8,23235829,Homo sapiens,RNA Binding,"FMR1,PPIL6",,Xq27.3,0
21448,FMR1,PPIP5K1,9677,PAR-CLIP,diphosphoinositol pentakisphosphate kinase 1,Q6PFW1,23235829,Homo sapiens,RNA Binding,"FMR1,PPIP5K1",,Xq27.3,0
21449,FMR1,PPIP5K2,23262,PAR-CLIP,diphosphoinositol pentakisphosphate kinase 2,O43314,23235829,Homo sapiens,RNA Binding,"FMR1,PPIP5K2",,Xq27.3,0
21450,FMR1,PPM1A,5494,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1A",P35813,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1A",,Xq27.3,0
21451,FMR1,PPM1B,5495,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1B",O75688,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1B",,Xq27.3,0
21452,FMR1,PPM1D,8493,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1D",O15297,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1D",,Xq27.3,17q23.2
21453,FMR1,PPM1F,9647,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1F",P49593,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1F",,Xq27.3,0
21454,FMR1,PPM1G,5496,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1G",O15355,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1G",,Xq27.3,0
21455,FMR1,PPM1H,57460,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1H",Q9ULR3,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1H",,Xq27.3,0
21456,FMR1,PPM1L,151742,PAR-CLIP,"protein phosphatase, Mg2+/Mn2+ dependent, 1L",Q5SGD2,23235829,Homo sapiens,RNA Binding,"FMR1,PPM1L",,Xq27.3,0
21457,FMR1,PPP1CA,5499,PAR-CLIP,"protein phosphatase 1, catalytic subunit, alpha isozyme",P62136,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1CA",,Xq27.3,0
21458,FMR1,PPP1CB,5500,PAR-CLIP,"protein phosphatase 1, catalytic subunit, beta isozyme",P62140,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1CB",,Xq27.3,0
21459,FMR1,PPP1CC,5501,PAR-CLIP,"protein phosphatase 1, catalytic subunit, gamma isozyme",P36873,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1CC",,Xq27.3,0
21460,FMR1,PPP1R10,5514,PAR-CLIP;      RNA immunoprecipitation (RIP),"protein phosphatase 1, regulatory subunit 10",Q96QC0,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R10",,Xq27.3,0
21461,FMR1,PPP1R12A,4659,PAR-CLIP,"protein phosphatase 1, regulatory subunit 12A",B2RAH5,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R12A",,Xq27.3,0
21462,FMR1,PPP1R12B,4660,PAR-CLIP,"protein phosphatase 1, regulatory subunit 12B",O60237,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R12B",,Xq27.3,0
21463,FMR1,PPP1R12C,54776,Y2H,"protein phosphatase 1, regulatory (inhibitor) subunit 12C",Q9BZL4,21653829,Homo sapiens,Protein Binding,"FMR1,PPP1R12C",,Xq27.3,0
21464,FMR1,PPP1R13B,23368,PAR-CLIP,"protein phosphatase 1, regulatory (inhibitor) subunit 13B",Q8WUF5,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R13B",,Xq27.3,0
21465,FMR1,PPP1R13L,10848,PAR-CLIP,"protein phosphatase 1, regulatory (inhibitor) subunit 13 like",Q8WUF5,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R13L",,Xq27.3,0
21466,FMR1,PPP1R14B,26472,PAR-CLIP,"protein phosphatase 1, regulatory (inhibitor) subunit 14B",Q96C90,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R14B",,Xq27.3,0
21467,FMR1,PPP1R14C,81706,PAR-CLIP,"protein phosphatase 1, regulatory (inhibitor) subunit 14C",Q8TAE6,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R14C",,Xq27.3,0
21468,FMR1,PPP1R15A,23645,PAR-CLIP;      RNA immunoprecipitation (RIP),"protein phosphatase 1, regulatory subunit 15A",O75807,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R15A",,Xq27.3,0
21469,FMR1,PPP1R15B,84919,PAR-CLIP,"protein phosphatase 1, regulatory subunit 15B",Q5SWA1,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R15B",,Xq27.3,0
21470,FMR1,PPP1R16B,26051,PAR-CLIP,"protein phosphatase 1, regulatory subunit 16B",E9PFS8,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R16B",,Xq27.3,0
21471,FMR1,PPP1R3B,79660,PAR-CLIP,"protein phosphatase 1, regulatory subunit 3B",Q86XI6,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R3B",,Xq27.3,0
21472,FMR1,PPP1R3D,5509,PAR-CLIP,"protein phosphatase 1, regulatory subunit 3D",O95685,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R3D",,Xq27.3,0
21473,FMR1,PPP1R8,5511,PAR-CLIP,"protein phosphatase 1, regulatory subunit 8",Q12972,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R8",,Xq27.3,0
21474,FMR1,PPP1R9A,55607,PAR-CLIP,"protein phosphatase 1, regulatory subunit 9A",Q9ULJ8,23235829,Homo sapiens,RNA Binding,"FMR1,PPP1R9A",,Xq27.3,0
21475,FMR1,PPP2CA,5515,Metabolic labeling with 32P;      IP/WB,"protein phosphatase 2, catalytic subunit, alpha isoenzyme",P67775,18160642,Homo sapiens,Protein Modification,"FMR1,PPP2CA",,Xq27.3,0
21476,FMR1,PPP2CB,5516,PAR-CLIP,"protein phosphatase 2, catalytic subunit, beta isozyme",P62714,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2CB",,Xq27.3,0
21477,FMR1,PPP2R1B,5519,PAR-CLIP,"protein phosphatase 2, regulatory subunit A, beta",P30154,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R1B",,Xq27.3,11q23.1
21478,FMR1,PPP2R2A,5520,PAR-CLIP,"protein phosphatase 2, regulatory subunit B, alpha",P63151,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R2A",,Xq27.3,0
21479,FMR1,PPP2R2D,55844,PAR-CLIP,"protein phosphatase 2, regulatory subunit B, delta",Q66LE6,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R2D",,Xq27.3,0
21480,FMR1,PPP2R3A,5523,PAR-CLIP,"protein phosphatase 2, regulatory subunit B'', alpha",B4DNU1,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R3A",,Xq27.3,0
21481,FMR1,PPP2R4,5524,PAR-CLIP;      RNA immunoprecipitation (RIP),"protein phosphatase 2A activator, regulatory subunit 4",Q15257,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R4",,Xq27.3,0
21482,FMR1,PPP2R5A,5525,PAR-CLIP,"protein phosphatase 2, regulatory subunit B', alpha",Q15172,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R5A",,Xq27.3,0
21483,FMR1,PPP2R5C,5527,PAR-CLIP,"protein phosphatase 2, regulatory subunit B', gamma",B4DYJ8,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R5C",,Xq27.3,0
21484,FMR1,PPP2R5D,5528,PAR-CLIP,"protein phosphatase 2, regulatory subunit B', delta",Q14738,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R5D",,Xq27.3,6p21.1
21485,FMR1,PPP2R5E,5529,PAR-CLIP,"protein phosphatase 2, regulatory subunit B', epsilon isoform",Q16537,23235829,Homo sapiens,RNA Binding,"FMR1,PPP2R5E",,Xq27.3,0
21486,FMR1,PPP3CB,5532,PAR-CLIP,"protein phosphatase 3, catalytic subunit, beta isozyme",P16298,23235829,Homo sapiens,RNA Binding,"FMR1,PPP3CB",,Xq27.3,0
21487,FMR1,PPP3R1,5534,PAR-CLIP,"protein phosphatase 3, regulatory subunit B, alpha",P63098,23235829,Homo sapiens,RNA Binding,"FMR1,PPP3R1",,Xq27.3,0
21488,FMR1,PPP4C,5531,PAR-CLIP,"protein phosphatase 4, catalytic subunit",P60510,23235829,Homo sapiens,RNA Binding,"FMR1,PPP4C",,Xq27.3,0
21489,FMR1,PPP4R1,9989,PAR-CLIP;      RNA immunoprecipitation (RIP),"protein phosphatase 4, regulatory subunit 1",Q8TF05,23235829,Homo sapiens,RNA Binding,"FMR1,PPP4R1",,Xq27.3,0
21490,FMR1,PPP4R2,151987,PAR-CLIP,"protein phosphatase 4, regulatory subunit 2",Q9NY27,23235829,Homo sapiens,RNA Binding,"FMR1,PPP4R2",,Xq27.3,0
21491,FMR1,PPP5C,5536,PAR-CLIP,"protein phosphatase 5, catalytic subunit",P53041,23235829,Homo sapiens,RNA Binding,"FMR1,PPP5C",,Xq27.3,19q13.32
21492,FMR1,PPP6C,5537,PAR-CLIP,"protein phosphatase 6, catalytic subunit",O00743,23235829,Homo sapiens,RNA Binding,"FMR1,PPP6C",,Xq27.3,0
21493,FMR1,PPP6R1,22870,PAR-CLIP,"protein phosphatase 6, regulatory subunit 1",Q9UPN7,23235829,Homo sapiens,RNA Binding,"FMR1,PPP6R1",,Xq27.3,0
21494,FMR1,PPP6R2,9701,PAR-CLIP,"protein phosphatase 6, regulatory subunit 2",O75170,23235829,Homo sapiens,RNA Binding,"FMR1,PPP6R2",,Xq27.3,0
21495,FMR1,PPP6R3,55291,PAR-CLIP,"protein phosphatase 6, regulatory subunit 3",Q5H9R7,23235829,Homo sapiens,RNA Binding,"FMR1,PPP6R3",,Xq27.3,0
21496,FMR1,PPPDE1,51029,PAR-CLIP,desumoylating isopeptidase 2,Q9BSY9,23235829,Homo sapiens,RNA Binding,"FMR1,PPPDE1",,Xq27.3,0
21497,FMR1,PPRC1,23082,PAR-CLIP,"peroxisome proliferator-activated receptor gamma, coactivator-related 1",Q5VV67,23235829,Homo sapiens,RNA Binding,"FMR1,PPRC1",,Xq27.3,0
21498,FMR1,PPTC7,160760,PAR-CLIP,PTC7 protein phosphatase homolog (S. cerevisiae),Q8NI37,23235829,Homo sapiens,RNA Binding,"FMR1,PPTC7",,Xq27.3,0
21499,FMR1,PPWD1,23398,PAR-CLIP,peptidylprolyl isomerase domain and WD repeat containing 1,Q96BP3,23235829,Homo sapiens,RNA Binding,"FMR1,PPWD1",,Xq27.3,0
21500,FMR1,PQBP1,10084,PAR-CLIP,polyglutamine binding protein 1,O60828,23235829,Homo sapiens,RNA Binding,"FMR1,PQBP1",,Xq27.3,0
21501,FMR1,PQLC1,80148,PAR-CLIP,PQ loop repeat containing 1,Q8N2U9,23235829,Homo sapiens,RNA Binding,"FMR1,PQLC1",,Xq27.3,0
21502,FMR1,PQLC2,54896,PAR-CLIP,PQ loop repeat containing 2,Q6ZP29,23235829,Homo sapiens,RNA Binding,"FMR1,PQLC2",,Xq27.3,0
21503,FMR1,PRAME,23532,PAR-CLIP,preferentially expressed antigen in melanoma,P78395,23235829,Homo sapiens,RNA Binding,"FMR1,PRAME",,Xq27.3,0
21504,FMR1,PRC1,9055,PAR-CLIP,protein regulator of cytokinesis 1,O43663,23235829,Homo sapiens,RNA Binding,"FMR1,PRC1",,Xq27.3,0
21505,FMR1,PRCC,5546,PAR-CLIP,papillary renal cell carcinoma (translocation-associated),Q92733,23235829,Homo sapiens,RNA Binding,"FMR1,PRCC",,Xq27.3,0
21506,FMR1,PRCP,5547,PAR-CLIP,prolylcarboxypeptidase (angiotensinase C),P42785,23235829,Homo sapiens,RNA Binding,"FMR1,PRCP",,Xq27.3,0
21507,FMR1,PRDM10,56980,PAR-CLIP;      RNA immunoprecipitation (RIP),PR domain containing 10,Q9NQV6,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM10",,Xq27.3,0
21508,FMR1,PRDM13,59336,PAR-CLIP,PR domain containing 13,Q9H4Q3,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM13",,Xq27.3,0
21509,FMR1,PRDM15,63977,PAR-CLIP;      RNA immunoprecipitation (RIP),PR domain containing 15,E9PF37,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM15",,Xq27.3,0
21510,FMR1,PRDM16,63976,PAR-CLIP;      RNA immunoprecipitation (RIP),PR domain containing 16,Q9HAZ2,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM16",,Xq27.3,0
21511,FMR1,PRDM2,7799,PAR-CLIP,"PR domain containing 2, with ZNF domain",Q13029,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM2",,Xq27.3,0
21512,FMR1,PRDM4,11108,PAR-CLIP,PR domain containing 4,B3KPI0,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM4",,Xq27.3,0
21513,FMR1,PRDM6,93166,PAR-CLIP,PR domain containing 6,Q9NQX0,23235829,Homo sapiens,RNA Binding,"FMR1,PRDM6",,Xq27.3,0
21514,FMR1,PRDX1,5052,PAR-CLIP;      RNA immunoprecipitation (RIP),peroxiredoxin 1,Q06830,23235829,Homo sapiens,RNA Binding,"FMR1,PRDX1",,Xq27.3,0
21515,FMR1,PRDX2,7001,PAR-CLIP,peroxiredoxin 2,P32119,23235829,Homo sapiens,RNA Binding,"FMR1,PRDX2",,Xq27.3,0
21516,FMR1,PRDX3,10935,PAR-CLIP,peroxiredoxin 3,P30048,23235829,Homo sapiens,RNA Binding,"FMR1,PRDX3",,Xq27.3,0
21517,FMR1,PRDX4,10549,PAR-CLIP,peroxiredoxin 4,Q13162,23235829,Homo sapiens,RNA Binding,"FMR1,PRDX4",,Xq27.3,0
21518,FMR1,PRDX5,25824,PAR-CLIP,peroxiredoxin 5,P30044,23235829,Homo sapiens,RNA Binding,"FMR1,PRDX5",,Xq27.3,0
21519,FMR1,PRDX6,9588,PAR-CLIP,peroxiredoxin 6,P30041,23235829,Homo sapiens,RNA Binding,"FMR1,PRDX6",,Xq27.3,0
21520,FMR1,PREB,10113,PAR-CLIP,prolactin regulatory element binding,Q9HCU5,23235829,Homo sapiens,RNA Binding,"FMR1,PREB",,Xq27.3,0
21521,FMR1,PRELID1,27166,PAR-CLIP,PRELI domain containing 1,D6RD25,23235829,Homo sapiens,RNA Binding,"FMR1,PRELID1",,Xq27.3,0
21522,FMR1,PRELID2,153768,PAR-CLIP,PRELI domain containing 2,Q8N945,23235829,Homo sapiens,RNA Binding,"FMR1,PRELID2",,Xq27.3,0
21523,FMR1,PREP,5550,PAR-CLIP;      RNA immunoprecipitation (RIP),prolyl endopeptidase,B2RAH7,23235829,Homo sapiens,RNA Binding,"FMR1,PREP",,Xq27.3,0
21524,FMR1,PREPL,9581,PAR-CLIP,prolyl endopeptidase-like,Q4J6C6,23235829,Homo sapiens,RNA Binding,"FMR1,PREPL",,Xq27.3,0
21525,FMR1,PRICKLE1,144165,PAR-CLIP,prickle homolog 1 (Drosophila),B3KVG3,23235829,Homo sapiens,RNA Binding,"FMR1,PRICKLE1",,Xq27.3,12q12
21526,FMR1,PRICKLE3,4007,PAR-CLIP,prickle homolog 3 (Drosophila),O43900,23235829,Homo sapiens,RNA Binding,"FMR1,PRICKLE3",,Xq27.3,0
21527,FMR1,PRICKLE4,29964,PAR-CLIP,prickle homolog 4 (Drosophila),Q2TBC4,23235829,Homo sapiens,RNA Binding,"FMR1,PRICKLE4",,Xq27.3,0
21528,FMR1,PRIM1,5557,PAR-CLIP,"primase, DNA, polypeptide 1 (49kDa)",P49642,23235829,Homo sapiens,RNA Binding,"FMR1,PRIM1",,Xq27.3,0
21529,FMR1,PRKAA1,5562,IP;      MS;      COMPASS,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Q13131,20562859,Homo sapiens,Protein Binding,"FMR1,PRKAA1",,Xq27.3,0
21530,FMR1,PRKAA2,5563,PAR-CLIP,"protein kinase, AMP-activated, alpha 2 catalytic subunit",P54646,23235829,Homo sapiens,RNA Binding,"FMR1,PRKAA2",,Xq27.3,0
21531,FMR1,PRKAB1,5564,PAR-CLIP,"protein kinase, AMP-activated, beta 1 non-catalytic subunit",Q9Y478,23235829,Homo sapiens,RNA Binding,"FMR1,PRKAB1",,Xq27.3,0
21532,FMR1,PRKAB2,5565,PAR-CLIP,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",O43741,23235829,Homo sapiens,RNA Binding,"FMR1,PRKAB2",,Xq27.3,0
